,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Label,CLTV,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,1,0,0,0,2,1,0,1,1,0,0,0,0,1,53,108.15,1,3239,1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,70,151.65,1,2701,0,1,0,1,0,0,0,0,1,0
2,0,0,0,1,8,1,1,0,0,1,0,1,1,1,99,820.5,1,5372,0,1,0,1,0,0,0,0,1,0
3,0,0,1,1,28,1,1,0,0,1,1,1,1,1,104,3046.05,1,5003,0,1,0,1,0,0,0,0,1,0
4,1,0,0,1,49,1,1,0,1,1,0,1,1,1,103,5036.3,1,5340,0,1,0,1,0,0,1,0,0,0
5,0,0,1,0,10,1,0,0,0,1,1,0,0,0,55,528.35,1,5925,1,0,0,1,0,0,0,1,0,0
6,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39,39.65,1,5433,1,0,0,1,0,0,0,0,1,0
7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20,20.15,1,4832,0,0,1,1,0,0,0,0,0,1
8,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99,4749.15,1,5789,0,1,0,1,0,0,0,0,1,0
9,1,0,1,0,1,0,0,0,1,0,0,0,0,0,30,30.2,1,2915,1,0,0,1,0,0,0,0,1,0
10,0,0,0,0,17,1,0,0,0,0,0,1,1,1,64,1093.1,1,3022,1,0,0,1,0,0,0,0,0,1
11,1,0,0,1,5,1,0,0,0,0,0,0,0,1,69,316.9,1,2454,0,1,0,1,0,0,0,0,1,0
12,1,0,0,1,34,1,1,0,1,1,0,1,1,1,106,3549.25,1,2941,0,1,0,1,0,0,0,0,1,0
13,0,0,0,1,11,1,1,0,0,1,0,1,1,1,97,1105.4,1,5674,0,1,0,1,0,0,1,0,0,0
14,0,0,0,1,2,1,0,0,0,0,0,1,0,1,80,144.15,1,5586,0,1,0,1,0,0,0,0,1,0
15,0,0,0,1,15,1,0,1,1,0,0,1,1,1,99,1426.4,1,2966,0,1,0,1,0,0,0,1,0,0
16,0,1,1,1,8,1,1,0,1,0,0,0,0,1,80,633.3,1,5302,0,1,0,1,0,0,0,1,0,0
17,1,1,0,1,18,1,1,0,0,0,0,1,1,1,95,1752.55,1,3179,0,1,0,1,0,0,0,0,1,0
18,0,0,0,1,9,1,1,0,0,0,0,1,1,0,94,857.25,1,5571,0,1,0,1,0,0,0,0,1,0
19,0,0,0,1,1,1,0,0,0,0,0,1,0,1,79,79.35,1,2483,0,1,0,1,0,0,0,0,1,0
20,0,0,1,1,7,1,0,0,0,1,0,0,0,1,75,496.9,1,3457,0,1,0,1,0,0,1,0,0,0
21,0,0,0,1,12,1,1,1,0,0,0,0,0,1,78,927.35,1,5806,0,1,0,1,0,0,0,0,1,0
22,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21,113.85,1,2604,0,0,1,1,0,0,0,0,0,1
23,0,1,1,1,25,1,0,0,1,1,0,1,1,1,98,2514.5,1,5337,0,1,0,1,0,0,0,0,1,0
24,1,0,1,0,68,1,1,0,1,1,1,1,1,1,110,7611.85,1,5034,0,1,0,0,0,1,1,0,0,0
25,1,0,1,1,55,1,1,1,1,0,0,1,0,1,96,5238.9,1,5154,0,1,0,1,0,0,0,0,1,0
26,0,1,1,1,37,1,1,0,0,0,0,0,0,1,76,2868.15,1,2793,0,1,0,1,0,0,0,0,1,0
27,0,0,1,1,10,1,1,1,0,0,0,1,1,1,100,1064.65,1,5998,0,1,0,1,0,0,0,0,1,0
